Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
27245105,"Nov 2, 2012, 12:00:42 PM","02/11/2012 Cape Town, Western Cape, South Africa",Run,"",2191,6.07,,,false,,Merrell Trail Gloves,activities/30861093.gpx.gz,31.29789924621582,,2191.0,1822.0,6070.93994140625,6.055059909820557,,21.412399291992188,,-1.1784000396728516,10.907500267028809,6.665820121765137,-0.000652286980766803,,,,,,,,,241.79031372070312,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
27686942,"Nov 8, 2012, 6:01:00 PM","08/11/2012 Lion's Head, Cape Town, Western Cape, South Africa",Run,"Congested like mall escalators up, awesome fun down. ",2521,4.47,,,false,,Merrell Trail Gloves,activities/31338426.gpx.gz,31.29789924621582,,2521.0,2189.0,4469.75,6.257719993591309,,372.9989929199219,,301.71099853515625,568.3770141601562,390.8800048828125,-0.00976479984819889,,,,,,,,,286.1905822753906,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
27788649,"Nov 14, 2012, 4:45:32 AM","14/11/2012 Lion's Head Hike, Cape Town, Western Cape, South Africa",Run,Met non-running friends for a hike up Lion's Head. Had breakfast on top and ran down. ,12317,14.13,,,,,Merrell Trail Gloves,activities/31447593.gpx.gz,31.29789924621582,,12317.0,6970.0,14132.400390625,9.039730072021484,,834.3790283203125,,60.77880096435547,546.9520263671875,141.64599609375,0.011454500257968903,,,,,,,,,1204.8099365234375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
27922344,"Nov 16, 2012, 7:30:05 AM",16 Nov 2012,Run,,1455,4.97,,,false,,Merrell Trail Gloves,activities/27922344.gpx,31.29789924621582,,1455.0,1417.0,4973.1298828125,5.534850120544434,,20.93630027770996,,-1.0764000415802002,65.34719848632812,35.544898986816406,-1.002519965171814,,,,,,,,,189.76055908203125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
28599805,"Nov 19, 2012, 10:51:45 PM","20/11/2012 Cape Town, Western Cape, South Africa",Run,"",2868,8.06,,,false,,Merrell Trail Gloves,activities/32314903.gpx.gz,31.29789924621582,,2868.0,2313.0,8068.6298828125,6.4745402336120605,,21.29319953918457,,-1.062000036239624,66.2771987915039,6.984000205993652,-0.7394559979438782,,,,,,,,,313.9974670410156,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
28767913,"Jun 9, 2012, 11:57:44 AM","09/06/2012 Fisherman's Trail, Cape Town, Western Cape, South Africa",Run,"",9115,20.13,,,false,,Merrell Trail Gloves,activities/32492479.gpx.gz,31.29789924621582,,9115.0,8926.0,20129.69921875,6.525609970092773,,961.0800170898438,,0.0,658.9550170898438,45.544898986816406,-0.01978209987282753,,,,,,,,,1049.539794921875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
28767915,"May 1, 2012, 11:08:55 AM","01/05/2012 Wellington 21.1km, Western Cape, South Africa",Run,"",6017,21.11,,,false,,Merrell Trail Gloves,activities/32492473.gpx.gz,31.29789924621582,,6017.0,5953.0,21117.69921875,8.029250144958496,,239.156005859375,,114.2979965209961,232.2550048828125,13.269200325012207,-0.043216198682785034,,,,,,,,,845.5008544921875,,,,,,,,,,,,,,,,0.0,,,21986.69921875,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
28767921,"Jul 29, 2012, 11:18:45 AM","29/07/2012 San Francisco Half, CA",Run,"",6267,21.12,,,false,,Merrell Trail Gloves,activities/32492475.gpx.gz,31.29789924621582,,6267.0,6267.0,21128.5,6.097990036010742,,105.68499755859375,,1.1754900067970481e-38,90.18930053710938,11.81760025024414,-0.1654990017414093,,,,,,,,,828.7305297851562,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
28767923,"Jul 14, 2012, 11:09:27 AM","14/07/2012 Hout Bay Trail Challenge Route Recce, Cape Town, Western Cape, South Africa",Run,Hout Bay Trail Challenge Route Recce,26975,36.64,,,false,,Merrell Trail Gloves,activities/32492477.gpx.gz,31.29789924621582,,26975.0,21912.0,36647.6015625,9.57073974609375,,2295.969970703125,,0.0,755.2039794921875,55.004398345947266,-0.0037958400789648294,,,,,,,,,2421.99462890625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
31955677,"Dec 8, 2012, 4:34:05 AM","08/12/2012 Cape Town, Western Cape, South Africa",Run,"",13673,14.64,,,,,Merrell Trail Gloves,activities/35917927.gpx.gz,31.0,,13673.0,8425.0,14648.7001953125,10.434100151062012,,927.2340087890625,,0.0,600.8159790039062,262562.0,0.0342601016163826,,,,,,,,,1249.218994140625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
